/sm	OFF
/sc	ON
/sd	OFF
/fpo	pd	8.00 6.00
/td	"xy"
6.066340e-001	1.368912e+002
6.075245e-001	1.370910e+002
6.084152e-001	1.372909e+002
6.093058e-001	1.374907e+002
6.101965e-001	1.376905e+002
6.110873e-001	1.378904e+002
6.119781e-001	1.380902e+002
6.128689e-001	1.382901e+002
6.137598e-001	1.384899e+002
6.146507e-001	1.386897e+002
6.155416e-001	1.388896e+002
6.164326e-001	1.390894e+002
6.173237e-001	1.392893e+002
6.182147e-001	1.394891e+002
6.191059e-001	1.396889e+002
6.199970e-001	1.398888e+002
6.208882e-001	1.400886e+002
6.217795e-001	1.402885e+002
6.226708e-001	1.404883e+002
6.235621e-001	1.406881e+002
6.244535e-001	1.408880e+002
6.253449e-001	1.410878e+002
6.262364e-001	1.412877e+002
6.271279e-001	1.414875e+002
6.280194e-001	1.416873e+002
6.289110e-001	1.418872e+002
6.298027e-001	1.420870e+002
6.306944e-001	1.422869e+002
6.315861e-001	1.424867e+002
6.324779e-001	1.426865e+002
6.333698e-001	1.428864e+002
6.342616e-001	1.430862e+002
6.351536e-001	1.432861e+002
6.360456e-001	1.434859e+002
6.369376e-001	1.436857e+002
6.378297e-001	1.438856e+002
6.387218e-001	1.440854e+002
6.396140e-001	1.442853e+002
6.405062e-001	1.444851e+002
6.413985e-001	1.446849e+002
6.422908e-001	1.448848e+002
6.431832e-001	1.450846e+002
6.440756e-001	1.452845e+002
6.449681e-001	1.454843e+002
6.458607e-001	1.456841e+002
6.467532e-001	1.458840e+002
6.476459e-001	1.460838e+002
6.485386e-001	1.462837e+002
6.494314e-001	1.464835e+002
6.503242e-001	1.466833e+002
6.512170e-001	1.468832e+002
6.521099e-001	1.470830e+002
6.530029e-001	1.472829e+002
6.538960e-001	1.474827e+002
6.547890e-001	1.476825e+002
6.556822e-001	1.478824e+002
6.565754e-001	1.480822e+002
6.574687e-001	1.482821e+002
6.583620e-001	1.484819e+002
6.592554e-001	1.486817e+002
6.601488e-001	1.488816e+002
6.610423e-001	1.490814e+002
6.619359e-001	1.492813e+002
6.628295e-001	1.494811e+002
6.637232e-001	1.496809e+002
6.646169e-001	1.498808e+002
6.655107e-001	1.500806e+002
6.664046e-001	1.502805e+002
6.672985e-001	1.504803e+002
6.681925e-001	1.506801e+002
6.690866e-001	1.508800e+002
6.699807e-001	1.510798e+002
6.708749e-001	1.512797e+002
6.717692e-001	1.514795e+002
6.726635e-001	1.516793e+002
6.735579e-001	1.518792e+002
6.744524e-001	1.520790e+002
6.753469e-001	1.522789e+002
6.762415e-001	1.524787e+002
6.771362e-001	1.526785e+002
6.780309e-001	1.528784e+002
6.789257e-001	1.530782e+002
6.798206e-001	1.532781e+002
6.807155e-001	1.534779e+002
6.816106e-001	1.536777e+002
6.825057e-001	1.538776e+002
6.834008e-001	1.540774e+002
6.842961e-001	1.542773e+002
6.851914e-001	1.544771e+002
6.860868e-001	1.546769e+002
6.869823e-001	1.548768e+002
6.878778e-001	1.550766e+002
6.887735e-001	1.552765e+002
6.896692e-001	1.554763e+002
6.905650e-001	1.556761e+002
6.914608e-001	1.558760e+002
6.923568e-001	1.560758e+002
6.932528e-001	1.562757e+002
6.941489e-001	1.564755e+002
6.950451e-001	1.566753e+002
6.959414e-001	1.568752e+002
6.968377e-001	1.570750e+002
6.977342e-001	1.572749e+002
6.986307e-001	1.574747e+002
